1,first person (speaker)
2,second person (listener)
3,third person (referent)
4,fourth person (obviative or generic)
12,first person inclusive
ACC,accusative case
AN,animate gender
ANIM,animate gender
C,common gender
CLF,classifier
DAT,dative case
ERG,ergative case
F,feminine gender
FUT,future
GEN,genitive case
HUM,human gender; anthropic gender
INAN,inanimate gender
INST,instrumental case
INSTR,instrumental case
LOC,locative case
M,masculine gender
N,neuter gender
NEG,negation; negative
NEUT,neuter
NOM,nominative case
OBL,oblique case
PAST,past
PL,plural
POSS,possessive; possessor
PRS,present tense
Q,question word or particle
R,rational gender (thinking beings)
SG,singular
∅,zero (null) morpheme
12DU,first person inclusive dual
12P,first person inclusive plural
12PAU,first person inclusive paucal
12S,first person inclusive singular
12T,first person inclusive trial
1DU,first person dual (you two)
1E,first person exclusive
1EDU,first person exclusive dual
1EP,first person exclusive plural
1EPAU,first person exclusive paucal
1ES,first person inclusive singular
1GEN,first person genitive (my or our)
1P,first person plural (we)
1PAU,first person paucal
1S,first person singular (i; me)
1T,first person trial
2DU,second person dual
2GEN,second person genitive (your)
2P,second person plural
2PAU,second person paucal
2S,second person singular (you)
2T,second person trial
3DU,third person dual
3GEN,third person genitive (their)
3P,third person plural (they)
3PAU,third person paucal
3S,third person singular (he; she; it)
3SF,third person singular feminine (she)
3SM,third person singular masculine (he)
3SN,third person singular neuter (it)
3T,third person trial
1p,first person plural (we)
1pl,first person plural (we)
1s,first person singular (i)
1sg,first person singular (i)
2p,second person plural (you all)
2pl,second person plural (you all)
2s,second person singular (you)
2sg,second person singular (you)
3p,third person plural (they)
3pl,third person plural (they)
3s,third person singular (he; she; it)
3sg,third person singular (he; she; it)
A,agent
ABESS,abessive case
ABL,ablative case (from)
ABS,absolutive case
ABSL,absolute
AC,anticausative
ACCOM,accompanier
ACP,accomplishment
ACR,actor role
ADDR,addressive
ADEL,adelative
ADESS,adessive case (at)
ADJ,adjective
ADJR,adjectiviser
ADM,admonitive mood (warning)
ADV,adverb(ial); adverbial case
ADVS,adversative
ADVR,adverbialiser
AF,actor; agent focus; agent voice
AFF,affirmative
AFFT,affective case
AFW,away from water
AGN,agent nominalisation
AGR,agreement
ALL,allative case
ALLOC,allocutive agreement
AND,andative (going towards)
ANTE,in front of
ANTESS,antessive case (before)
ANTIC,anticausative
ANTIP,antipassive
AO,agent-orientated verb
AOR,aorist
AP,antipassive voice
APPL,applicative
APRX,approximative
APUD,near; in the vicinity of
ARG,argumentative
ART,article
ASRT,assertive mood
ASSUM,assumptive mood; assumed
AT,agent trigger
ATR,attributive
ATTEN,attenuative
AUD,auditory evidential
AUG,augmentative
AUX,auxiliary
AVERT,avertive
AVR,aversative
BEN,benefactive case (for)
BF,beneficiary focus
CAR,caritive case
CARD,cardinal numeral
CAUS,causative
CENT,centric case
CERT,certainty (evidential)
CESS,cessative
CF,circumstantial focus
CMP,comparative
CMPD,compound
CNJ,conjunction
CNS,construct state
CNSQ,consequential mood
CNTF,counterfactual conditional
COL,collective number
COM,comitative case (together with)
COMIT,comitative case (together with)
COMP,complementiser
COMPL,completive aspect
COMPLR,complementiser
COMPUL,compulsional
CONC,concessive
COND,conditional mood
CONF,confirmational
CONJC,conjectural (evidential)
CONN,connective particle
CONR,connector
CONT,continuous aspect; continuative aspect
CONTEMP,contemporative (at that/the same time)
CONTR,contrastive; contranstive focus
CONV,converb
COOP,cooperative
COORD,coordination
COP,copula
COR,coreference; coreferential
COREF,coreference; coreferential
COTEMP,contemporative (at that/the same time)
CRAS,crastinal tense (tomorrow)
CTG,contingent mood
CTM,contemporative (at that/the same time)
CVB,converb
DE,different event; change of event
DEB,debitive
DECL,declarative mood
DED,deductive evidential
DEF,definite
DEFIN,definitive
DEFOC,defocus
DEL,delative case (off of)
DEM,demonstrative
DENOM,denominal
DEO,deontic mood
DEOBJ,deobjective
DEONT,deontic mood
DEP,dependent
DER,derivation; derivational
DERIV,derivation; derivational
DES,desiderative mood
DET,determiner
DETR,detransitiviser; detransitive
DH,downhill; seaward
DIM,diminutive
DIMIN,diminutive
DIS,distal; distant
DISJ,disjunction; disjunctive
DIST,distal; distant
DISTR,distributive
DITR,ditransitive
DON,donative
DOX,doxastic
DP,distant past
DR,downriver; toward the water
DTR,detrimentary
DU,dual
DUB,dubitative mood
DUBIT,dubitative mood
DUPLIC,duplicative
DUR,durative aspect
DYN,dynamic aspect
DYNM,dynamic aspect
EL,elative case (out of)
ELA,elative case (out of)
ELAT,elative case (out of)
EMP,emphatic; emphasiser
EMPH,emphatic; emphasiser
EPIT,epithet
ESS,essive case
EVIT,evitative case
EX,exclusive person
EXAL,exaltive; deferential (high-status register )
EXC,exclusive person
EXCL,exclusive
